Av. Erico Verissimo, 960,-30.05364197,-51.21838319
Av. Erico Verissimo, 900,-30.05321757,-51.21836749
Av. Erico Verissimo, 890,-30.05314306,-51.21836425
Av. Erico Verissimo, 774,-30.05246106,-51.21830919
Av. Erico Verissimo, 637,-30.05104709,-51.21829125
Av. Erico Verissimo, 746,-30.05211515,-51.21828357
Av. Erico Verissimo, 617,-30.05082116,-51.21827785
Av. Erico Verissimo, 1184,-30.05573313,-51.21825129
Av. Erico Verissimo, 700,-30.05154686,-51.21824148
Av. Erico Verissimo, 495,-30.04980445,-51.21821919
Av. Ipiranga, 1075,-30.04843304,-51.21820425
Av. Erico Verissimo, 441,-30.04927535,-51.21819078
Av. Erico Verissimo, 1278,-30.05653571,-51.2181723
Av. Erico Verissimo, 540,-30.05010193,-51.21815212
Av. Erico Verissimo, 500,-30.04981761,-51.21813685
Av. Erico Verissimo, 400,-30.04886611,-51.21811894
R. Jose de Alencar, 1405,-30.06031059,-51.21810267
R. Visconde do Herval, 1061,-30.05370886,-51.21807945
R. Gen. Caldwell, 959,-30.0513535,-51.21806431
R. Botafogo, 1232,-30.05482088,-51.21802415
Av. Erico Verissimo, 1379,-30.0585942,-51.2179797
R. Barao do Triunfo, 391,-30.05253193,-51.21795702
R. Visconde do Herval, 1076,-30.05365202,-51.21790527
R. Botafogo, 1211,-30.0549119,-51.21783334
R. Marcilio Dias, 1168,-30.05010658,-51.21771461
R. Gen. Caldwell, 994,-30.05132771,-51.21758891
R. Germano Hasslocher, 53,-30.05608558,-51.21751869
R. Botafogo, 1292,-30.0548858,-51.21735128
Av. Ipiranga, 1145,-30.04831405,-51.21730764
R. Visconde do Herval, 1141,-30.05379288,-51.21714749
R. Barao do Triunfo, 454,-30.05253684,-51.21713041
R. Marcilio Dias, 1201,-30.05024703,-51.21693628
R. Germano Hasslocher, 134,-30.05602671,-51.21685854
R. Barao do Triunfo, 500,-30.05257211,-51.21675415
Av. Erico Verissimo, 1500,-30.05930082,-51.21668654
R. Gen. Caldwell, 1074,-30.05142564,-51.21659485
R. Visconde do Herval, 1208,-30.05378276,-51.21648465
R. Marcilio Dias, 1288,-30.05021539,-51.21639934
Av. Azenha, 1696,-30.05931867,-51.21638617
R. Barao do Triunfo, 539,-30.05268263,-51.21634571
R. Gen. Caldwell, 1119,-30.05153023,-51.21629139
R. Jose de Alencar, 1621,-30.05931698,-51.216138
R. Gen. Caldwell, 1145,-30.05156588,-51.2159522
Av. Azenha, 1595,-30.0579057,-51.21586225
R. Marcilio Dias, 1345,-30.05032544,-51.21584353
R. Germano Hasslocher, 203,-30.05612335,-51.21581327
Av. Azenha, 1535,-30.0578527,-51.21581295
R. Visconde do Herval, 1263,-30.05392348,-51.21577642
Av. Azenha, 1602,-30.05787041,-51.21573338
R. Jose de Alencar, 1678,-30.05899423,-51.2156076
Av. Ipiranga, 1231,-30.0481003,-51.21556728
R. Gen. Caldwell, 1175,-30.05160702,-51.21556083
R. Botafogo, 1422,-30.0550609,-51.21546969
R. Dona Cecilia, 18,-30.05769326,-51.2154689
R. Marcilio Dias, 1390,-30.05028962,-51.21530379
R. Jose de Alencar, 1689,-30.05891873,-51.21526262
Av. Azenha, 1429,-30.05659749,-51.21524652
R. Botafogo, 1458,-30.05508375,-51.21522321
R. Vinte de Setembro, 339,-30.05359611,-51.21517858
R. Visconde do Herval, 1320,-30.0539087,-51.21517509
R. Prof. Freitas e Castro, 211,-30.04941301,-51.21516837
R. Vinte de Setembro, 360,-30.0539484,-51.2151384
Av. Azenha, 1486,-30.05653125,-51.21512937
R. Barao do Triunfo, 636,-30.05272714,-51.21508517
R. Jose de Alencar, 1705,-30.05882502,-51.21505665
Av. Azenha, 1397,-30.05612344,-51.2150422
R. Vinte de Setembro, 264,-30.05278931,-51.21500128
Av. Azenha, 1377,-30.05601994,-51.21499902
R. Barao do Triunfo, 666,-30.05273678,-51.21497949
R. Vinte de Setembro, 220,-30.05250306,-51.21496035
Av. Azenha, 1350,-30.05611865,-51.21495154
R. Gen. Caldwell, 1226,-30.05159882,-51.21494736
R. Vinte de Setembro, 111,-30.05151278,-51.21490175
R. Vinte de Setembro, 186,-30.05208727,-51.2149001
R. Gen. Caldwell, 1273,-30.05167833,-51.21488248
R. Barao do Triunfo, 679,-30.05282212,-51.21483713
R. Botafogo, 1455,-30.05519496,-51.21481205
R. Vinte de Setembro, 13,-30.05048768,-51.21476364
Av. Azenha, 1312,-30.05562528,-51.21476335
R. Vinte de Setembro, 72,-30.05106845,-51.21475836
R. Visconde do Herval, 1370,-30.05395458,-51.21472121
Av. Azenha, 1275,-30.05516038,-51.21470675
R. Prof. Freitas e Castro, 253,-30.0492644,-51.21464195
R. Marcilio Dias, 1465,-30.05040801,-51.21460525
Av. Azenha, 1241,-30.05484015,-51.2145787
R. Visconde do Herval, 1383,-30.05404345,-51.21456067
Av. Azenha, 1250,-30.05489242,-51.21451177
Av. Azenha, 1195,-30.05440689,-51.21440546
Av. Azenha, 1194,-30.05438199,-51.21430767
Av. Ipiranga, 1481,-30.04793346,-51.21428276
R. Barao do Triunfo, 723,-30.0528807,-51.21418463
Av. Azenha, 1091,-30.05349399,-51.21403236
R. Barao do Triunfo, 734,-30.05282339,-51.21401492
Av. Azenha, 1096,-30.05353608,-51.21396163
R. Marcilio Dias, 1508,-30.05037321,-51.21389277
Av. Azenha, 1048,-30.05312154,-51.21378963
Av. Azenha, 1033,-30.0528725,-51.2137745
Av. Azenha, 1007,-30.05287219,-51.21377437
R. Gen. Caldwell, 1330,-30.05173709,-51.21364174
Av. Ipiranga, 1555,-30.04784761,-51.21360042
Av. Azenha, 955,-30.05232531,-51.21354091
Av. Azenha, 964,-30.05239671,-51.2134829
Av. Azenha, 480,-30.04820689,-51.21348078
Av. Azenha, 551,-30.0486434,-51.21347375
R. Jose de Alencar, 1820,-30.05799507,-51.21346919
R. Prof. Freitas e Castro, 357,-30.04884244,-51.21337033
Av. Azenha, 881,-30.05179977,-51.21331656
R. Prof. Freitas e Castro, 450,-30.04873542,-51.21331235
Av. Azenha, 631,-30.04939822,-51.21330975
Av. Azenha, 602,-30.04913967,-51.2132823
Av. Azenha, 651,-30.04962937,-51.21325878
Av. Azenha, 904,-30.05186035,-51.21325393
Av. Azenha, 661,-30.04974494,-51.21323329
R. Prof. Freitas e Castro, 522,-30.04869063,-51.21321208
R. Prof. Freitas e Castro, 415,-30.04874956,-51.2131624
Av. Azenha, 693,-30.05011478,-51.21315173
R. Prof. Freitas e Castro, 570,-30.04866077,-51.21314524
Av. Azenha, 666,-30.04976634,-51.21314411
Av. Azenha, 701,-30.05020724,-51.21313134
Av. Azenha, 831,-30.05135076,-51.21313014
Av. Azenha, 759,-30.05055542,-51.21304921
R. Marcilio Dias, 1565,-30.0504897,-51.21303191
R. Marcilio Dias, 1558,-30.05041766,-51.21302702
Av. Azenha, 795,-30.05105611,-51.21291194
Av. Azenha, 832,-30.05111687,-51.21286717
Av. Prof. Oscar Pereira, 44,-30.05107917,-51.21284894
Av. Prof. Oscar Pereira, 35,-30.05140761,-51.21284385
Av. Bento Goncalves, 38,-30.05037892,-51.21269843
Av. Princesa Isabel, 17,-30.05101472,-51.21269173
Av. Prof. Oscar Pereira, 88,-30.05158752,-51.21267952
Av. Bento Goncalves, 50,-30.05044109,-51.21257638
R. Prof. Freitas e Castro, 481,-30.04843381,-51.21250803
Av. Prof. Oscar Pereira, 130,-30.05206783,-51.21247671
Av. Bento Goncalves, 63,-30.05057589,-51.21247592
Av. Prof. Oscar Pereira, 137,-30.05230282,-51.21246586
Av. Bento Goncalves, 67,-30.05059661,-51.21243523
Av. Prof. Oscar Pereira, 198,-30.05259364,-51.2122547
Av. Prof. Oscar Pereira, 176,-30.0525939,-51.21225459
Av. Princesa Isabel, 100,-30.05064951,-51.21221369
Av. Bento Goncalves, 91,-30.05071084,-51.21221098
Av. Princesa Isabel, 65,-30.05070943,-51.21216746
Av. Prof. Oscar Pereira, 230,-30.05292622,-51.21211096
Av. Prof. Oscar Pereira, 249,-30.05323062,-51.2120585
Av. Ipiranga, 1781,-30.04734157,-51.21196973
Av. Bento Goncalves, 116,-30.05075092,-51.2119614
Av. Ipiranga, 1791,-30.04727591,-51.21185469
Av. Prof. Oscar Pereira, 284,-30.05345857,-51.2118331
Av. Ipiranga, 1801,-30.04721025,-51.21173964
Av. Ipiranga, 1803,-30.04720477,-51.21173216
Av. Bento Goncalves, 173,-30.05106163,-51.21147651
Av. Princesa Isabel, 103,-30.05030159,-51.21147111
Av. Joao Pessoa, 2040,-30.04754241,-51.21143339
Av. Joao Pessoa, 2060,-30.04765829,-51.21134414
Av. Bento Goncalves, 190,-30.05103312,-51.2113093
Av. Prof. Oscar Pereira, 330,-30.0543639,-51.21129555
Av. Joao Pessoa, 2123,-30.047861,-51.21128744
Av. Joao Pessoa, 2125,-30.04790749,-51.21125121
Av. Princesa Isabel, 160,-30.05007181,-51.21122733
Av. Prof. Oscar Pereira, 350,-30.0545029,-51.21122663
Av. Joao Pessoa, 2116,-30.04793207,-51.21113183
Av. Joao Pessoa, 2133,-30.04809344,-51.21110629
Av. Prof. Oscar Pereira, 391,-30.05495211,-51.21109734
Av. Bento Goncalves, 215,-30.05114596,-51.21105184
Av. Prof. Oscar Pereira, 401,-30.05505368,-51.21104772
Av. Jose Bonifacio, 700,-30.03665508,-51.21093439
Av. Prof. Oscar Pereira, 400,-30.05515114,-51.21090998
Av. Joao Pessoa, 2145,-30.04837238,-51.21088891
Av. Prof. Oscar Pereira, 410,-30.05528078,-51.21084664
Av. Jose Bonifacio, 710,-30.03660325,-51.21084518
Av. Prof. Oscar Pereira, 420,-30.05541043,-51.21078331
Av. Jose Bonifacio, 720,-30.03655142,-51.21075597
Av. Princesa Isabel, 151,-30.04987351,-51.21074193
Av. Jose Bonifacio, 730,-30.03650484,-51.21067574
Av. Prof. Oscar Pereira, 515,-30.05621158,-51.21048209
R. Castro Alves, 23,-30.03029409,-51.21045864
R. Prof. Freitas e Castro, 740,-30.04732635,-51.21042583
Av. Princesa Isabel, 199,-30.04964911,-51.21036463
Av. Ipiranga, 1805,-30.04634278,-51.21033802
R. Prof. Freitas e Castro, 755,-30.04733763,-51.21028064
Av. Bento Goncalves, 302,-30.05110619,-51.21020833
Av. Joao Pessoa, 2229,-30.04925593,-51.21019385
Av. Prof. Oscar Pereira, 514,-30.0566261,-51.21018227
Av. Bento Goncalves, 303,-30.05118001,-51.21017118
Av. Prof. Oscar Pereira, 524,-30.05675455,-51.2101158
Av. Bento Goncalves, 313,-30.05118437,-51.21006822
Av. Prof. Oscar Pereira, 534,-30.05688301,-51.21004933
R. Prof. Freitas e Castro, 770,-30.04713376,-51.21003585
Av. Bento Goncalves, 342,-30.05111492,-51.21000204
R. Prof. Freitas e Castro, 805,-30.04715553,-51.2099119
Av. Princesa Isabel, 342,-30.04926077,-51.20985556
R. Leopoldo Bier, 250,-30.04804762,-51.20985169
Av. Joao Pessoa, 2301,-30.049727,-51.20983123
R. Delegado Grant, 158,-30.04690135,-51.20981348
Av. Bento Goncalves, 343,-30.05120178,-51.20971213
Av. Prof. Oscar Pereira, 584,-30.05744696,-51.20958757
R. Delegado Grant, 181,-30.047292,-51.20958727
Av. Ipiranga, 1813,-30.04584479,-51.20949722
R. Leopoldo Bier, 312,-30.04782718,-51.20947424
Av. Joao Pessoa, 2391,-30.05028933,-51.20939788
Av. Princesa Isabel, 347,-30.04907211,-51.20938456
Av. Princesa Isabel, 357,-30.04903276,-51.20931731
Av. Princesa Isabel, 359,-30.04902488,-51.20930386
Av. Joao Pessoa, 2408,-30.0502973,-51.20929186
Av. Princesa Isabel, 361,-30.04901701,-51.20929041
R. Prof. Freitas e Castro, 850,-30.04673465,-51.20922435
R. Voluntarios da Patria, 3043,-30.00803827,-51.20921895
Av. Joao Pessoa, 2418,-30.05040855,-51.20920613
