R. Joaquim Nabuco, 220,-30.04203023,-51.22093061
R. Baroneza do Gravatai, 117,-30.04197251,-51.22621884
R. Ignacio Montanha, 74,-30.04197141,-51.21401157
R. Joao Alfredo, 582,-30.04194393,-51.22486302
Av. Jeronimo de Ornelas, 307,-30.04192101,-51.21192942
R. Lopo Goncalves, 506,-30.04190958,-51.22270819
R. Vieira de Castro, 481,-30.04187625,-51.20990289
Pca. Conego Marcelino, 89,-30.04185354,-51.22769966
R. Joaquim Nabuco, 166,-30.04180784,-51.22032132
R. Silva So, 427,-30.04180105,-51.20411597
R. Santana, 315,-30.04180064,-51.21241369
Av. Venancio Aires, 260,-30.04179586,-51.21752603
R. Jacinto Gomes, 439,-30.04176032,-51.20910722
R. Luiz Afonso, 749,-30.04175599,-51.22558413
Av. Joao Pessoa, 1180,-30.04168761,-51.21596576
R. Ramiro Barcelos, 2531,-30.04165888,-51.20814541
R. Lopo Goncalves, 448,-30.04160283,-51.22185478
Av. Venancio Aires, 301,-30.04159891,-51.21702912
R. Sao Manoel, 854,-30.04158887,-51.20505722
Av. Joao Pessoa, 1155,-30.04157478,-51.21615372
Av. Venancio Aires (suprimido), 302,-30.04153941,-51.21707611
R. Gen. Jacinto Osorio, 24,-30.0415074,-51.21218332
R. Joaquim Nabuco, 90,-30.04149484,-51.2194638
R. Lopo Goncalves, 388,-30.04146501,-51.2214706
Av. Jeronimo de Ornelas, 399,-30.0414521,-51.21113024
Trav. Ferreira de Abreu, 129,-30.04141859,-51.20865794
R. Olavo Bilac, 516,-30.04140928,-51.2143872
R. Baroneza do Gravatai, 49,-30.0413923,-51.22644987
R. Santa Terezinha, 482,-30.04133885,-51.20992337
R. Jose do Patrocinio, 737,-30.04127567,-51.22182091
R. Joao Alfredo, 483,-30.04126084,-51.22527437
R. Lopo Goncalves, 332,-30.04124752,-51.22086057
R. Joaquim Nabuco, 20,-30.04120655,-51.21867399
R. Santana, 292,-30.04120266,-51.21274141
R. Gen. Lima e Silva, 1010,-30.04118565,-51.21828981
R. Luiz Afonso, 575,-30.04109196,-51.22440242
R. Ramiro Barcelos, 2471,-30.04109109,-51.20817075
R. da Republica, 801,-30.04101674,-51.22702893
R. Olavo Bilac, 596,-30.04101419,-51.21371262
R. Vieira de Castro, 366,-30.04100499,-51.2105257
R. Lopo Goncalves, 260,-30.04096788,-51.22007626
Av. Venancio Aires, 444,-30.04090314,-51.21597529
R. Jacinto Gomes, 365,-30.04081741,-51.2092168
R. Gen. Jacinto Osorio, 150,-30.04078097,-51.21080428
Av. Venancio Aires, 465,-30.04076774,-51.2155979
R. Santana, 242,-30.04074258,-51.21306869
R. Dona Eugenia, 76,-30.04071997,-51.20351605
R. Santana, 215,-30.04069617,-51.21319956
Av. Jeronimo de Ornelas, 539,-30.04067436,-51.2098031
R. Jose do Patrocinio, 655,-30.04063184,-51.22247269
R. Silva So, 269,-30.04062986,-51.20408243
R. Joao Alfredo, 413,-30.04060702,-51.22567293
R. Lopo Goncalves, 162,-30.04058726,-51.21900874
Av. Joao Pessoa, 1027,-30.04058348,-51.21691415
Av. Venancio Aires, 502,-30.04048706,-51.21526981
R. Lopo Goncalves, 112,-30.04045655,-51.21865606
